user_id,place_id,rating
1,39,3
1,309,4
1,13,5
1,17,5
1,8,3
1,24,3
1,340,3
1,532,5
1,50,4
1,249,3
1,108,5
1,320,5
1,398,3
1,498,5
1,523,5
1,559,5
1,373,4
1,520,5
1,312,4
1,446,3
1,54,5
1,24,3
1,433,5
1,41,3
1,77,3
1,530,4
1,24,3
1,356,3
1,294,3
1,556,5
2,180,3
2,38,4
2,359,5
2,299,4
2,284,3
2,366,3
2,233,3
2,520,4
2,83,5
2,51,5
2,1,4
2,481,4
2,57,4
2,517,4
2,544,4
2,356,3
2,33,4
2,301,4
2,359,4
2,44,5
2,149,4
2,358,5
2,26,3
2,532,4
2,433,5
2,527,3
2,40,4
2,40,3
2,20,4
2,81,3
3,523,5
3,40,3
3,518,5
3,398,5
3,539,4
3,518,4
3,433,3
3,445,3
3,537,4
3,309,4
3,327,5
3,63,3
3,26,5
3,306,3
3,69,5
3,539,4
3,340,5
3,281,3
3,309,3
3,527,3
3,320,5
3,475,5
3,180,3
3,232,4
3,62,4
3,462,3
3,24,3
3,551,5
3,532,5
3,574,3
4,54,3
4,541,3
4,395,4
4,68,3
4,32,3
4,568,4
4,570,5
4,347,3
4,249,4
4,537,4
4,77,4
4,398,4
4,45,3
4,491,3
4,306,5
4,44,4
4,295,4
4,64,3
4,500,4
4,83,5
4,520,5
4,39,3
4,375,5
4,28,4
4,322,3
4,302,5
4,294,3
4,23,3
4,465,5
4,531,3
5,37,3
5,37,4
5,294,5
5,149,4
5,249,5
5,9,3
5,212,3
5,46,5
5,559,3
5,535,4
5,535,4
5,17,5
5,518,5
5,273,4
5,37,4
5,551,5
5,475,5
5,320,3
5,67,4
5,284,4
5,24,4
5,7,5
5,530,5
5,527,5
5,40,3
5,373,5
5,413,5
5,482,3
5,17,4
5,315,3
6,340,4
6,6,4
6,347,4
6,286,5
6,25,3
6,481,4
6,20,3
6,530,4
6,356,3
6,320,5
6,83,4
6,517,3
6,29,3
6,180,5
6,544,3
