user_id,place_id,location,rating
1,394,bali,3
1,69,medan,5
1,400,bali,5
1,212,lombok,4
1,450,bali,5
1,395,bali,3
1,19,jakarta,5
1,116,lombok,4
1,551,yogyakarta,5
1,260,batam,5
1,531,yogyakarta,4
1,263,batam,3
1,38,jakarta,4
1,475,yogyakarta,3
1,479,yogyakarta,4
1,134,lombok,3
1,52,medan,5
1,57,medan,3
1,75,medan,4
1,88,padang,3
1,257,batam,3
1,44,jakarta,5
1,282,batam,3
1,29,jakarta,5
1,108,lombok,3
1,95,padang,4
1,97,padang,4
1,81,padang,5
2,535,yogyakarta,3
2,311,bali,3
2,344,bali,4
2,113,lombok,3
2,282,batam,5
2,59,medan,5
2,19,jakarta,3
2,551,yogyakarta,3
2,306,bali,4
2,373,bali,4
2,563,yogyakarta,3
2,136,lombok,3
2,538,yogyakarta,4
2,286,batam,5
2,52,medan,5
2,233,batam,5
2,77,padang,4
2,53,medan,4
2,28,jakarta,3
2,283,batam,5
2,30,jakarta,4
2,106,lombok,3
2,7,jakarta,3
2,54,medan,4
2,212,lombok,3
2,83,padang,4
2,97,padang,5
2,81,padang,4
3,281,batam,5
3,290,batam,4
3,485,yogyakarta,4
3,306,bali,5
3,500,yogyakarta,4
3,334,bali,4
3,329,bali,4
3,9,jakarta,3
3,484,yogyakarta,5
3,54,medan,5
3,314,bali,4
3,568,yogyakarta,4
3,267,batam,5
3,260,batam,5
3,32,jakarta,4
3,102,lombok,4
3,11,jakarta,5
3,7,jakarta,3
3,99,padang,3
3,212,lombok,5
3,81,padang,3
3,136,lombok,3
3,51,medan,4
3,103,lombok,5
3,69,medan,4
3,64,medan,5
3,83,padang,5
3,77,padang,4
4,83,padang,3
4,252,batam,3
4,545,yogyakarta,5
4,233,batam,5
4,476,yogyakarta,4
4,1,jakarta,4
4,39,jakarta,5
4,475,yogyakarta,4
4,517,yogyakarta,5
4,54,medan,4
4,282,batam,3
4,353,bali,3
4,319,bali,4
4,311,bali,4
4,296,bali,4
4,278,batam,3
4,50,jakarta,5
4,32,jakarta,3
4,72,medan,3
4,97,padang,5
4,118,lombok,4
4,51,medan,5
4,172,lombok,4
4,88,padang,4
4,53,medan,3
4,116,lombok,5
4,140,lombok,4
4,99,padang,5
5,424,bali,5
5,35,jakarta,3
5,39,jakarta,3
5,462,bali,4
5,19,jakarta,4
5,294,bali,3
5,531,yogyakarta,3
5,16,jakarta,4
5,520,yogyakarta,4
5,326,bali,4
5,534,yogyakarta,3
5,489,yogyakarta,5
5,246,batam,4
5,81,padang,4
5,106,lombok,5
5,53,medan,3
5,282,batam,3
5,212,lombok,3
5,113,lombok,4
5,249,batam,4
5,110,lombok,3
5,61,medan,4
5,257,batam,3
5,75,medan,3
5,54,medan,5
5,99,padang,5
5,88,padang,4
5,97,padang,4
6,498,yogyakarta,5
6,570,yogyakarta,5
6,59,medan,4
6,278,batam,4
6,310,bali,3
6,294,bali,5
6,12,jakarta,5
6,563,yogyakarta,4
6,413,bali,5
6,309,bali,3
6,68,medan,3
6,500,yogyakarta,4
6,104,lombok,4
6,149,lombok,4
6,24,jakarta,4
6,18,jakarta,3
6,64,medan,5
6,233,batam,4
6,52,medan,5
6,140,lombok,4
6,269,batam,5
6,34,jakarta,5
6,286,batam,4
6,83,padang,5
6,136,lombok,5
6,77,padang,5
6,81,padang,4
6,99,padang,4
7,6,jakarta,5
7,34,jakarta,3
7,483,yogyakarta,5
7,352,bali,3
7,237,batam,4
7,424,bali,3
7,63,medan,3
7,311,bali,5
7,317,bali,5
7,491,yogyakarta,3
7,285,batam,4
7,541,yogyakarta,5
7,31,jakarta,3
7,180,lombok,5
7,77,padang,5
7,500,yogyakarta,4
7,118,lombok,4
7,61,medan,4
7,53,medan,3
7,47,jakarta,4
7,149,lombok,5
7,72,medan,3
7,254,batam,5
7,284,batam,4
7,106,lombok,5
7,97,padang,3
7,99,padang,4
7,81,padang,4
8,16,jakarta,4
8,445,bali,5
8,518,yogyakarta,4
8,67,medan,3
8,574,yogyakarta,4
8,551,yogyakarta,4
8,88,padang,5
8,488,yogyakarta,4
8,22,jakarta,3
8,254,batam,3
8,297,bali,4
8,356,bali,5
8,257,batam,5
8,235,batam,5
8,172,lombok,5
8,32,jakarta,4
8,260,batam,4
8,387,bali,3
8,28,jakarta,5
8,53,medan,5
8,113,lombok,4
8,102,lombok,3
8,52,medan,5
8,64,medan,4
8,116,lombok,4
8,83,padang,5
8,95,padang,4
8,81,padang,4
9,491,yogyakarta,5
9,67,medan,5
9,269,batam,3
9,22,jakarta,5
9,366,bali,5
9,544,yogyakarta,5
9,481,yogyakarta,3
9,282,batam,4
9,237,batam,5
9,258,batam,4
9,113,lombok,5
9,104,lombok,5
9,568,yogyakarta,3
9,17,jakarta,5
9,8,jakarta,5
9,351,bali,3
9,18,jakarta,4
9,306,bali,3
9,61,medan,5
9,64,medan,4
9,398,bali,4
9,62,medan,4
9,180,lombok,5
9,95,padang,4
9,212,lombok,4
9,81,padang,4
9,83,padang,3
9,88,padang,5
10,489,yogyakarta,3
10,394,bali,4
10,63,medan,5
10,83,padang,5
10,398,bali,3
10,95,padang,4
10,235,batam,3
10,136,lombok,3
10,342,bali,5
10,527,yogyakarta,4
10,530,yogyakarta,3
10,428,bali,4
10,172,lombok,5
10,25,jakarta,3
10,481,yogyakarta,5
10,212,lombok,5
10,14,jakarta,5
10,75,medan,5
10,29,jakarta,5
10,67,medan,3
10,46,jakarta,4
10,257,batam,4
10,232,batam,5
10,66,medan,5
10,285,batam,4
10,118,lombok,4
10,97,padang,5
10,99,padang,5
11,347,bali,5
11,172,lombok,4
11,71,medan,5
11,249,batam,5
11,302,bali,5
11,106,lombok,5
11,400,bali,3
11,542,yogyakarta,5
11,282,batam,5
11,252,batam,5
11,336,bali,4
11,13,jakarta,4
11,551,yogyakarta,3
11,72,medan,4
11,491,yogyakarta,4
11,35,jakarta,3
11,284,batam,3
11,531,yogyakarta,5
11,50,jakarta,4
11,45,jakarta,3
11,113,lombok,3
11,67,medan,3
11,57,medan,5
11,104,lombok,4
11,88,padang,3
11,83,padang,5
11,77,padang,5
11,97,padang,5
12,299,bali,3
12,40,jakarta,3
12,481,yogyakarta,3
12,570,yogyakarta,5
12,398,bali,4
12,558,yogyakarta,5
12,326,bali,3
12,284,batam,5
12,571,yogyakarta,5
12,68,medan,4
12,356,bali,4
12,41,jakarta,3
12,83,padang,3
12,285,batam,5
12,33,jakarta,4
12,237,batam,4
12,290,batam,4
12,30,jakarta,4
12,113,lombok,4
12,67,medan,5
12,116,lombok,5
12,180,lombok,5
12,63,medan,4
12,95,padang,3
12,136,lombok,4
12,99,padang,3
12,54,medan,3
12,77,padang,3
13,537,yogyakarta,5
13,463,bali,5
13,519,yogyakarta,4
13,1,jakarta,4
13,14,jakarta,3
13,450,bali,3
13,12,jakarta,5
13,556,yogyakarta,4
13,95,padang,5
13,25,jakarta,3
13,485,yogyakarta,3
13,118,lombok,4
13,103,lombok,3
13,294,bali,5
13,235,batam,3
13,302,bali,5
13,110,lombok,3
13,54,medan,3
13,252,batam,4
13,59,medan,4
13,72,medan,3
13,232,batam,3
13,233,batam,5
13,97,padang,5
13,51,medan,5
13,108,lombok,4
13,77,padang,4
13,99,padang,3
14,534,yogyakarta,3
14,571,yogyakarta,5
14,419,bali,4
14,359,bali,5
14,342,bali,5
14,24,jakarta,4
14,491,yogyakarta,4
14,51,medan,5
14,352,bali,3
14,254,batam,5
14,260,batam,5
14,233,batam,4
14,77,padang,3
14,542,yogyakarta,3
14,72,medan,4
14,237,batam,5
14,36,jakarta,3
14,97,padang,5
14,14,jakarta,5
14,23,jakarta,5
14,118,lombok,5
14,52,medan,5
14,64,medan,5
14,140,lombok,3
14,180,lombok,3
14,95,padang,5
14,116,lombok,3
14,81,padang,4
15,63,medan,5
15,545,yogyakarta,3
15,520,yogyakarta,3
15,20,jakarta,5
15,312,bali,4
15,72,medan,4
15,134,lombok,5
15,235,batam,3
15,282,batam,5
15,83,padang,3
15,527,yogyakarta,4
15,66,medan,5
15,104,lombok,3
15,352,bali,4
15,336,bali,5
15,452,bali,5
15,116,lombok,5
15,496,yogyakarta,5
15,38,jakarta,5
15,47,jakarta,5
15,57,medan,3
15,6,jakarta,3
15,274,batam,3
15,263,batam,4
15,102,lombok,4
15,99,padang,5
15,88,padang,4
15,95,padang,4
16,20,jakarta,4
16,172,lombok,5
16,358,bali,5
16,68,medan,4
16,32,jakarta,3
16,366,bali,3
16,286,batam,3
16,340,bali,5
16,64,medan,3
16,75,medan,5
16,342,bali,3
16,61,medan,5
16,534,yogyakarta,3
16,530,yogyakarta,3
16,258,batam,4
16,44,jakarta,4
16,504,yogyakarta,5
16,541,yogyakarta,5
16,83,padang,3
16,46,jakarta,4
16,108,lombok,3
16,110,lombok,4
16,99,padang,5
16,212,lombok,4
16,263,batam,4
16,232,batam,3
16,81,padang,3
16,77,padang,3
17,97,padang,5
17,140,lombok,4
17,110,lombok,3
17,336,bali,3
17,535,yogyakarta,4
17,45,jakarta,4
17,446,bali,4
17,237,batam,4
17,534,yogyakarta,5
17,517,yogyakarta,3
17,476,yogyakarta,5
17,398,bali,4
17,468,bali,5
17,75,medan,4
17,14,jakarta,3
17,62,medan,3
17,38,jakarta,5
17,18,jakarta,3
17,290,batam,3
17,59,medan,5
17,57,medan,3
17,104,lombok,3
17,235,batam,4
17,136,lombok,4
17,283,batam,3
17,99,padang,5
17,81,padang,3
17,95,padang,4
18,386,bali,3
18,544,yogyakarta,3
18,296,bali,4
18,246,batam,5
18,452,bali,3
18,63,medan,4
18,172,lombok,4
18,530,yogyakarta,4
18,103,lombok,4
18,46,jakarta,3
18,574,yogyakarta,3
18,267,batam,4
18,41,jakarta,4
18,331,bali,3
18,534,yogyakarta,3
18,39,jakarta,5
18,29,jakarta,5
18,273,batam,3
18,180,lombok,5
18,260,batam,5
18,212,lombok,5
18,97,padang,4
18,67,medan,3
18,61,medan,4
18,54,medan,3
18,77,padang,3
18,81,padang,4
18,99,padang,4
19,322,bali,5
19,428,bali,3
19,447,bali,5
19,67,medan,3
19,534,yogyakarta,4
19,489,yogyakarta,3
19,297,bali,4
19,83,padang,3
19,102,lombok,3
19,249,batam,4
19,72,medan,4
19,53,medan,4
19,282,batam,5
19,64,medan,5
19,517,yogyakarta,3
19,172,lombok,5
19,537,yogyakarta,4
19,104,lombok,5
19,29,jakarta,3
19,46,jakarta,4
19,37,jakarta,3
19,40,jakarta,5
19,108,lombok,4
19,97,padang,3
19,260,batam,3
19,232,batam,3
19,77,padang,3
19,81,padang,3
20,68,medan,5
20,535,yogyakarta,3
20,12,jakarta,3
20,558,yogyakarta,3
20,180,lombok,5
20,537,yogyakarta,4
20,571,yogyakarta,4
20,286,batam,5
20,30,jakarta,3
20,22,jakarta,3
20,1,jakarta,4
20,403,bali,3
20,351,bali,3
20,344,bali,5
20,419,bali,4
20,263,batam,5
20,97,padang,4
20,212,lombok,3
20,235,batam,5
20,282,batam,5
20,140,lombok,5
20,88,padang,4
20,63,medan,3
20,77,padang,5
20,116,lombok,3
20,51,medan,4
20,66,medan,5
20,83,padang,4
21,483,yogyakarta,5
21,246,batam,3
21,428,bali,4
21,367,bali,3
21,484,yogyakarta,5
21,517,yogyakarta,3
21,295,bali,5
21,310,bali,3
21,140,lombok,5
21,534,yogyakarta,5
21,232,batam,4
21,81,padang,5
21,33,jakarta,5
21,283,batam,4
21,45,jakarta,3
21,8,jakarta,4
21,9,jakarta,4
21,252,batam,3
21,72,medan,5
21,97,padang,3
21,180,lombok,5
21,61,medan,3
21,71,medan,4
21,136,lombok,5
21,99,padang,4
21,172,lombok,5
21,67,medan,3
21,83,padang,3
22,41,jakarta,4
22,516,yogyakarta,5
22,328,bali,4
22,329,bali,5
22,46,jakarta,3
22,136,lombok,5
22,7,jakarta,4
22,311,bali,5
22,342,bali,4
22,538,yogyakarta,4
22,53,medan,5
22,66,medan,3
22,269,batam,3
22,544,yogyakarta,3
22,257,batam,4
22,212,lombok,4
22,545,yogyakarta,3
22,263,batam,5
22,64,medan,4
22,31,jakarta,4
22,134,lombok,5
22,149,lombok,4
22,63,medan,3
22,232,batam,3
22,77,padang,4
22,99,padang,4
22,83,padang,5
22,81,padang,4
23,535,yogyakarta,5
23,484,yogyakarta,3
23,297,bali,3
23,309,bali,5
23,315,bali,5
23,544,yogyakarta,3
